Recency,Frequency,Monetary,cluster_final
8,8,1661.8400000000001,0
0,13,4810.9400000000005,0
10,10,3466.28,0
52,5,3346.28,0
72,3,789.89,0
6,1,204.0,0
15,28,7277.7,0
3,9,2616.38,0
63,2,689.9,0
0,5,975.36,0
113,6,6912.0,0
22,2,661.3199999999999,0
30,3,1247.5,0
10,2,799.48,0
51,2,1010.1800000000001,0
356,1,190.55,1
54,2,642.77,0
73,2,921.88,0
137,3,881.07,0
79,3,908.46,0
8,2,676.99,0
272,1,516.42,1
290,1,560.47,1
98,1,305.28000000000003,0
30,2,629.31,0
31,10,3237.54,0
13,4,1835.91,0
63,2,656.6800000000001,0
14,17,5836.86,0
211,1,348.15000000000003,1
77,3,1214.41,0
24,3,271.40000000000003,0
249,1,183.4,1
253,1,307.53000000000003,1
71,1,248.61,0
190,1,346.98,1
12,4,1119.49,0
372,1,205.86,1
23,2,470.8,0
81,1,115.46000000000001,0
9,2,344.0,0
0,24,4436.12,0
191,1,228.8,1
266,1,177.15,1
129,1,919.61,0
0,4,729.27,0
2,26,12627.94,0
3,5,220.10000000000002,0
178,1,58.08,1
11,11,28337.38,0
125,9,3613.63,0
3,2,303.75,0
157,2,416.08,1
2,97,58825.83,2
8,14,8910.82,0
27,1,345.82,0
70,5,477.83,0
275,8,7832.47,1
20,12,1927.3200000000002,0
70,1,74.39999999999999,0
32,10,6010.42,0
0,28,28882.44,0
98,1,207.36,0
233,1,101.19,1
0,24,6424.09,0
39,1,243.94,0
2,6,1098.48,0
132,1,76.5,0
43,4,1531.6200000000001,0
372,1,350.06,1
59,2,786.54,0
30,7,1488.67,0
0,24,12245.960000000001,0
11,4,2294.78,0
137,1,501.14,1
21,8,984.91,0
19,5,1197.81,0
238,1,30.6,1
268,1,283.73,1
93,2,922.39,0
89,3,3866.33,0
4,8,2099.64,0
77,1,259.17,0
93,1,64.0,0
22,3,1073.3,0
261,1,77.3,1
273,2,109.8,1
85,4,1793.58,0
196,1,3096.0,1
55,5,2607.61,0
10,8,3650.41,0
21,6,962.39,0
15,7,5064.9400000000005,0
107,3,423.72,0
84,5,2388.75,0
18,1,307.09000000000003,0
332,1,110.95,1
39,4,618.52,0
25,1,228.91,0
9,4,712.8,0
28,12,3707.12,0
13,4,1676.06,0
295,1,1257.8700000000001,1
5,1,486.22,0
32,4,971.76,0
48,4,1741.22,0
94,4,1201.06,0
8,4,1437.85,0
21,1,91.8,0
312,1,112.75,1
121,4,1688.29,0
45,2,1021.48,0
282,1,417.2,1
18,4,791.33,0
35,4,1319.19,0
63,2,712.88,0
26,1,116.00999999999999,0
21,3,468.41,0
3,2,353.65000000000003,0
15,3,2817.03,0
45,1,492.84,0
64,1,282.45,0
25,11,5725.47,0
44,1,121.18,0
7,9,3957.78,0
14,10,1701.29,0
267,1,71.4,1
39,3,1575.89,0
336,1,236.02,1
10,1,114.6,0
18,2,260.68,0
94,2,911.94,0
60,1,117.88,0
135,1,60.7,0
10,4,1797.78,0
9,6,3401.2400000000002,0
3,38,9817.12,0
18,4,870.09,0
9,4,869.46,0
14,2,250.26000000000002,0
58,6,1223.9,0
29,8,5891.61,0
93,1,353.48,0
9,3,1197.42,0
19,3,788.08,0
56,5,1520.58,0
267,1,333.74,1
121,3,533.98,0
126,1,62.64,0
77,4,819.2900000000001,0
239,2,847.41,1
199,2,163.2,1
59,2,2155.95,0
2,7,6463.84,0
272,1,108.21000000000001,1
201,1,257.7,1
80,1,358.0,0
225,1,160.95,1
3,14,2806.97,0
12,7,1357.6,0
73,2,605.12,0
211,1,1031.07,1
24,2,744.85,0
16,4,700.73,0
261,1,329.56,1
95,4,663.65,0
111,3,270.40000000000003,0
202,1,600.07,1
92,1,121.74000000000001,0
50,1,430.5,0
17,6,1987.3,0
17,4,501.12,0
124,2,465.68,0
91,3,711.41,0
156,2,1030.4,1
8,2,399.51,0
11,3,698.5799999999999,0
61,1,292.32,0
60,1,557.62,0
268,2,944.1,1
262,1,200.29,1
0,35,7454.07,0
52,5,2107.66,0
10,12,3834.2599999999998,0
2,19,4521.49,0
17,11,3214.69,0
0,15,5346.2300000000005,0
365,1,590.0,1
36,1,217.38,0
30,2,276.56,0
112,1,138.98,0
63,2,590.9300000000001,0
15,4,258.4,0
40,1,542.73,0
77,1,137.75,0
121,3,814.86,0
17,3,1132.14,0
59,2,93.66,0
330,1,201.19,1
22,4,2709.12,0
155,1,361.11,1
38,2,578.94,0
189,2,873.74,1
359,1,201.20000000000002,1
136,1,87.4,1
7,4,2089.85,0
0,1,360.0,0
267,1,142.5,1
168,1,371.89,1
103,4,618.09,0
154,1,63.75,1
350,1,300.42,1
3,10,2000.86,0
119,1,15.0,0
22,3,1385.51,0
6,5,1456.79,0
27,3,1132.03,0
3,2,598.57,0
21,5,1555.3200000000002,0
1,3,775.94,0
36,4,5977.73,0
65,6,2273.68,0
0,3,640.76,0
4,26,10845.550000000001,0
77,4,1548.7,0
71,2,567.36,0
16,1,199.48000000000002,0
2,5,787.85,0
35,10,7121.95,0
81,1,675.3,0
38,8,3627.77,0
315,1,1308.48,1
31,2,789.0,0
92,3,1140.93,0
13,1,350.90000000000003,0
81,3,3536.82,0
76,1,795.12,0
157,1,487.02,1
200,1,860.12,1
44,7,10736.48,0
260,1,775.85,1
177,1,353.43,1
67,3,2543.7200000000003,0
287,1,389.5,1
69,1,341.36,0
63,1,233.76000000000002,0
10,1,247.32,0
15,2,979.12,0
65,1,373.94,0
59,1,397.98,0
70,1,743.53,0
121,1,674.7,0
79,1,768.24,0
256,1,609.95,1
268,1,439.03000000000003,1
63,1,439.56,0
8,4,3090.7400000000002,0
17,2,992.5,0
70,1,134.96,0
33,2,2225.37,0
49,1,56.16,0
256,2,623.4,1
365,1,308.28000000000003,1
371,1,754.87,1
89,1,378.64,0
60,3,3312.25,0
88,1,778.65,0
98,3,1019.76,0
25,3,572.56,0
31,6,3639.31,0
280,1,222.99,1
30,7,4151.93,0
329,1,534.57,1
130,2,677.1,0
10,3,797.96,0
74,1,544.08,0
203,1,59.8,1
1,8,2520.02,0
184,1,307.72,1
28,2,1360.99,0
72,5,1544.13,0
191,1,457.34000000000003,1
126,2,621.23,0
17,1,75.0,0
0,2,252.49,0
73,3,572.451,0
1,62,28117.04,0
23,5,1003.06,0
106,1,213.55,0
133,3,1390.5,0
43,2,712.5,0
4,2,640.83,0
11,18,6127.43,0
63,1,221.06,0
149,2,159.85,1
39,2,1851.08,0
63,1,2626.3,0
107,3,1624.21,0
0,10,3641.32,0
18,3,582.6,0
9,1,218.47,0
10,4,1006.8,0
18,2,679.45,0
66,2,1269.1,0
73,2,534.24,0
4,7,3809.89,0
1,1,196.89,0
13,7,3408.06,0
254,1,283.71,1
91,1,296.64,0
22,3,1129.14,0
16,6,3539.3700000000003,0
23,1,291.88,0
26,6,2043.72,0
25,5,2976.15,0
258,2,590.0,1
165,2,356.98,1
24,2,1058.34,0
17,6,1766.72,0
6,14,9646.57,0
28,2,183.44,0
38,3,1445.0,0
252,1,151.5,1
57,1,674.68,0
183,1,307.90000000000003,1
10,2,1083.71,0
1,37,5704.97,0
98,2,165.0,0
0,4,2531.58,0
60,2,422.64,0
235,1,229.59,1
190,4,1431.78,1
178,2,1238.47,1
37,6,1454.58,0
200,2,300.95,1
45,5,1804.56,0
231,1,184.64000000000001,1
65,1,140.34,0
240,1,313.8,1
232,1,454.24,1
77,3,1122.41,0
57,3,575.4,0
16,13,8968.31,0
104,4,449.52,0
51,10,1215.82,0
135,3,1269.84,0
274,2,618.63,1
311,1,316.26000000000005,1
7,5,2044.8700000000001,0
10,2,653.33,0
282,2,348.05,1
17,5,1159.1100000000001,0
22,3,1166.77,0
287,1,1340.32,1
16,3,292.0,0
70,1,216.85,0
63,1,295.93,0
72,4,4393.63,0
315,2,458.52,1
2,4,2479.16,0
243,1,110.97,1
8,7,979.72,0
0,4,1791.56,0
260,1,251.21,1
126,1,205.1,0
73,1,152.20000000000002,0
72,4,891.12,0
20,3,1389.41,0
59,3,2128.42,0
85,1,659.44,0
77,1,122.75,0
58,6,3624.35,0
0,3,1093.65,0
29,1,125.80000000000001,0
32,5,3964.88,0
40,5,680.1800000000001,0
14,2,628.78,0
33,7,2287.51,0
78,2,307.76,0
204,2,483.8,1
33,1,210.31,0
182,3,270.79,1
1,25,5870.08,0
0,7,3448.29,0
42,7,1280.85,0
85,3,631.34,0
39,2,291.41,0
11,3,626.99,0
95,2,682.41,0
25,7,918.2,0
318,1,91.80000000000001,1
65,12,3740.07,0
73,4,4149.28,0
27,2,584.0600000000001,0
5,4,605.06,0
6,1,174.37,0
215,1,141.85999999999999,1
81,3,1799.3300000000002,0
83,2,777.53,0
143,3,1749.02,1
18,2,240.22,0
40,2,874.71,0
172,1,192.85,1
16,2,373.75,0
242,1,239.49,1
12,12,2092.32,0
205,1,1384.25,1
49,2,294.40000000000003,0
22,5,732.07,0
9,18,6717.34,0
24,4,1687.6000000000001,0
14,2,467.04,0
308,1,118.0,1
155,1,781.03,1
306,1,142.4,1
63,1,712.4,0
15,9,2478.95,0
14,2,379.65,0
10,6,1981.92,0
64,3,1117.13,0
35,4,247.95999999999998,0
107,5,2037.0800000000002,0
52,1,396.97,0
5,2,697.04,0
46,1,180.17000000000002,0
0,21,5153.67,0
311,1,219.52,1
44,2,693.32,0
64,1,428.89,0
25,1,164.34,0
28,3,280.54,0
39,1,678.01,0
11,7,1131.88,0
88,3,1171.8,0
23,4,1610.46,0
318,1,417.69,1
39,3,544.18,0
173,1,177.34,1
116,1,213.85,0
30,5,747.78,0
252,1,257.23,1
58,5,1638.47,0
22,11,7792.36,0
4,7,2031.78,0
99,11,3070.42,0
24,5,2121.27,0
32,5,1575.16,0
67,1,1071.03,0
36,5,949.12,0
51,3,810.5,0
15,1,122.64,0
73,1,1033.34,0
215,1,354.8,1
30,3,519.44,0
15,4,2624.26,0
119,1,252.1,0
9,4,1678.1200000000001,0
256,2,346.6,1
16,6,1836.3400000000001,0
34,2,94.2,0
45,3,1095.08,0
42,6,2707.33,0
113,2,932.97,0
164,2,379.65,1
10,2,382.14,0
9,5,2639.17,0
205,2,1573.2,1
85,3,897.76,0
178,1,189.47,1
59,3,84.65,0
148,1,305.02,1
2,21,6363.59,0
50,2,218.55,0
74,1,349.7,0
300,2,186.39000000000001,1
18,2,396.92,0
150,2,486.82000000000005,1
151,1,232.6,1
0,4,3722.42,0
17,4,827.83,0
186,1,59.5,1
285,1,67.23,1
2,7,3119.44,0
182,1,72.0,1
62,1,910.0,0
58,1,172.25,0
24,3,1488.32,0
3,50,65039.62,2
30,15,2504.13,0
38,1,151.3,0
154,1,308.58000000000004,1
25,10,2265.12,0
317,1,99.5,1
4,9,2308.06,0
7,3,711.86,0
302,1,330.79,1
266,2,806.41,1
270,1,296.88,1
3,13,6328.05,0
31,1,180.48,0
218,2,252.06,1
246,1,228.84,1
280,5,1079.34,1
268,1,138.28,1
31,6,1445.01,0
245,2,306.55,1
14,5,1041.68,0
116,4,799.9,0
35,1,524.14,0
131,3,2375.41,0
216,1,199.85000000000002,1
49,8,1980.56,0
38,2,1079.66,0
28,2,333.48,0
36,6,1016.14,0
135,2,752.6,0
218,2,610.59,1
27,1,491.86,0
24,4,2885.2400000000002,0
4,2,731.9,0
199,1,339.6,1
17,1,216.9,0
240,1,350.75,1
71,3,668.4300000000001,0
16,12,3131.02,0
2,7,1341.6,0
94,2,1156.36,0
161,1,300.04,1
373,1,79.6,1
95,5,948.25,0
53,5,1647.26,0
287,1,296.25,1
123,6,1186.28,0
287,1,741.26,1
151,2,282.6,1
3,9,2161.35,0
1,14,5189.52,0
11,7,3190.55,0
32,2,659.4100000000001,0
53,2,286.79,0
49,2,1070.65,0
218,1,306.72,1
62,1,1714.96,0
70,3,1521.76,0
1,37,17220.36,0
1,10,2796.51,0
63,4,2634.45,0
33,3,1132.13,0
81,1,345.0,0
0,33,25977.16,0
102,1,178.7,0
6,2,360.01,0
250,1,127.84,1
12,6,912.0,0
9,11,2462.79,0
366,1,230.4,1
75,2,309.04,0
3,1,348.79999999999995,0
127,2,1516.0,0
65,2,195.55,0
0,57,37153.85,0
116,2,688.86,0
309,1,558.32,1
66,1,324.8,0
138,3,4599.42,0
254,1,277.07,1
30,7,2635.79,0
51,2,924.5999999999999,0
63,1,256.38,0
366,1,112.6,1
5,5,1747.66,0
304,1,155.05,1
28,3,1499.01,0
183,3,814.5,1
41,3,539.0,0
39,4,1366.8600000000001,0
91,2,1579.12,0
21,4,4027.36,0
23,2,571.6700000000001,0
28,2,382.98,0
301,3,1140.35,1
144,2,385.64,1
5,2,632.0,0
18,2,957.66,0
32,5,1698.94,0
175,1,189.5,1
57,3,412.05,0
21,1,209.49,0
15,6,2202.99,0
18,1,52.2,0
158,1,384.8,1
24,4,834.57,0
211,2,271.24,1
5,4,691.73,0
252,1,85.0,1
58,9,3385.62,0
10,1,361.62,0
64,1,312.98,0
24,3,865.0600000000001,0
91,3,1255.0,0
51,2,1537.95,0
128,1,1595.48,0
95,3,2651.46,0
56,1,1090.1399999999999,0
8,25,8109.5199999999995,0
168,3,388.5,1
56,1,216.17000000000002,0
325,1,201.16,1
0,5,1245.9,0
17,8,2209.36,0
247,1,305.78,1
57,4,501.56,0
73,1,145.67,0
30,3,1015.29,0
6,2,3192.54,0
122,4,3104.9500000000003,0
1,8,2770.94,0
22,13,6403.25,0
119,3,389.6,0
357,1,540.45,1
53,5,1786.79,0
63,1,122.7,0
85,1,117.24,0
54,1,1281.53,0
20,13,3219.77,0
3,20,17159.52,0
2,5,1191.13,0
10,5,2674.48,0
6,5,787.6,0
188,2,506.8,1
70,1,243.56,0
203,1,349.55,1
119,2,605.63,0
92,1,416.90000000000003,0
0,10,1883.81,0
26,4,632.97,0
297,1,821.1,1
23,3,564.62,0
27,4,2593.07,0
49,1,311.16,0
325,1,155.93,1
15,2,388.52,0
182,3,740.95,1
71,5,2867.2000000000003,0
36,2,332.64,0
79,4,2369.55,0
56,9,2580.91,0
11,2,626.45,0
49,2,272.04,0
49,2,1212.8400000000001,0
58,2,384.81,0
351,1,172.25,1
53,1,351.13,0
1,6,1838.8500000000001,0
92,4,678.25,0
22,1,223.85000000000002,0
74,1,348.99,0
10,4,464.57,0
168,2,842.65,1
57,2,337.34,0
95,2,1237.53,0
294,1,307.4,1
108,2,608.79,0
263,1,922.1,1
179,1,376.58,1
168,1,158.85,1
34,1,71.66,0
22,3,568.55,0
16,4,839.14,0
21,5,5112.96,0
78,3,561.57,0
64,1,90.60000000000001,0
360,1,102.0,1
2,6,2427.32,0
10,4,745.0600000000001,0
175,3,674.45,1
217,2,3251.071,1
6,7,3515.68,0
1,2,439.92,0
153,2,322.96,1
4,5,1026.42,0
78,3,598.2,0
20,2,230.22,0
21,2,169.54999999999998,0
307,4,664.54,1
145,1,80.7,1
6,18,9053.94,0
18,8,2758.26,0
70,2,190.25,0
286,1,264.7,1
48,1,413.59000000000003,0
30,6,2526.28,0
206,1,357.98,1
14,2,196.79,0
72,1,869.87,0
59,1,200.14,0
38,4,1871.81,0
29,12,2603.43,0
26,5,920.51,0
3,15,7060.13,0
16,1,320.46,0
19,6,4147.96,0
65,2,1266.08,0
212,1,311.3,1
11,6,855.97,0
29,1,76.8,0
42,9,3466.36,0
3,6,2313.14,0
14,5,1393.69,0
9,12,3901.81,0
210,1,635.66,1
45,3,2043.0800000000002,0
133,2,529.73,0
42,7,4582.64,0
9,5,2874.72,0
115,3,962.19,0
197,2,695.61,1
277,1,328.8,1
109,3,473.02,0
76,1,505.18,0
52,1,917.34,0
161,4,4341.21,1
46,3,1421.6100000000001,0
16,2,642.8,0
154,3,631.9,1
224,1,440.0,1
6,2,584.07,0
121,2,327.7,0
60,1,104.82,0
62,2,467.66,0
17,8,2360.09,0
6,19,17286.86,0
1,11,2975.59,0
21,3,651.8199999999999,0
28,5,1428.02,0
284,1,626.65,1
175,2,147.20000000000002,1
77,3,1560.38,0
32,1,152.2,0
40,12,3614.92,0
265,1,141.41,1
26,4,652.82,0
108,4,1659.75,0
283,1,154.99,1
8,5,1308.6100000000001,0
304,1,409.93,1
16,4,5681.72,0
31,2,746.36,0
0,23,15610.390000000001,0
19,1,225.35999999999999,0
123,2,260.25,0
64,1,92.46000000000001,0
105,1,725.6400000000001,0
0,23,8214.65,0
23,17,6217.96,0
266,1,183.6,1
4,19,6140.42,0
9,12,10464.85,0
28,5,1353.74,0
266,1,152.55,1
63,2,374.7,0
319,1,265.85,1
3,8,1438.82,0
31,1,151.04,0
4,3,942.26,0
128,1,122.47,0
40,5,499.42,0
101,6,1049.37,0
124,1,375.1,0
